ts,brainpool_price,V1 no-import (rerun),V1 with-import (original),"V1 with-import (FIXED, 37.65k - FINAL)","V1 with-import (FIXED, 30k - rejected)",V2 no-import (rerun),V2 with-import (original),V2 with-import (37.65k - superseded),"V2 with-import (FIXED, 30k - FINAL)"
2027-06-05 16:00:00,68.83673858642578,142.6108740876136,87.92,87.92,87.92,80.47089069157059,80.47089069157059,80.47089069157059,80.47089069157059
2027-06-05 17:00:00,78.10539245605469,3000.0,151.618250212086,95.13,95.13,152.82552688201034,95.13,95.13,95.13
2027-06-05 18:00:00,80.50962829589844,3000.0,3000.0,114.89442211551554,155.29897644777475,3000.0,101.33,101.33,101.33
2027-06-05 19:00:00,81.00148010253906,3000.0,3000.0,160.04986769582868,3000.0,146.97510065832546,101.46,101.46,101.46
2027-06-05 20:00:00,80.44546508789062,3000.0,3000.0,123.24070543989616,154.88073324784978,88.86890890491462,88.86890890491462,88.86890890491462,88.86890890491462
2027-06-05 21:00:00,78.18113708496094,3000.0,150.8232822532617,100.0,100.0,82.5375625522447,82.5375625522447,82.91600630829,82.91600630829
2027-06-05 22:00:00,75.19389343261719,3000.0,110.81232510467412,88.76,88.76,78.23060210779505,78.4161236033913,78.4161236033913,78.4161236033913
2027-06-05 23:00:00,74.3719253540039,137.18098229190886,80.18,80.18,80.18,72.37091157917666,72.37091157917666,72.00954799673383,72.00954799673383
2027-06-06 00:00:00,74.34856414794922,72.91336897286797,72.91336897286797,72.91336897286797,72.91336897286797,69.49455650550719,69.49455650550719,69.49455650550719,69.49455650550719
2027-06-06 01:00:00,74.34856414794922,64.1915309373529,64.1915309373529,64.1915309373529,64.1915309373529,68.91903097076022,68.91903097076022,68.6022600920775,68.6022600920775
2027-06-06 02:00:00,72.19207000732422,57.62952890915528,57.62952890915528,57.970806793326574,57.62952890915528,68.06820098817674,61.38,61.38,61.38
2027-06-06 03:00:00,67.12080383300781,0.0,0.0,0.0,0.0,67.71260494934552,60.66,60.66,60.66
2027-06-06 04:00:00,24.2862491607666,0.0,0.0,0.0,0.0,72.5486938312019,65.63,65.63,65.63
2027-06-06 05:00:00,18.92807579040527,0.0,0.0,0.0,0.0,72.74544601433846,72.54807262670616,72.54807262670616,72.54807262670616
2027-06-06 06:00:00,11.83004760742188,0.0,0.0,-33.52790847652592,0.0,62.27209759061032,62.27209759061032,62.27209759061032,62.27209759061032
2027-06-06 07:00:00,6.431600570678711,0.0,0.0,-33.52790847652592,-33.61664421659534,0.0,0.0,0.0,0.0
2027-06-06 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-06 09:00:00,0.0,64.53678114298125,64.53678114298125,64.53678114298125,64.53678114298125,0.0,0.0,0.0,0.0
2027-06-06 10:00:00,0.0,80.0081040846749,80.0081040846749,80.0081040846749,80.08494937370992,0.0,0.0,0.0,0.0
2027-06-06 11:00:00,0.0,145.48769121709412,86.34259047164723,76.41,76.41,58.478359820143005,58.478359820143005,58.13643478654295,58.13643478654295
2027-06-06 12:00:00,0.0,3000.0,133.06569319192306,73.26,73.26,62.78981004082128,62.78981004082128,62.78981004082128,62.78981004082128
2027-06-06 13:00:00,0.0,151.61452490544428,89.83315587792286,68.5,68.5,68.06153125852016,68.06153125852016,68.06153125852016,68.06153125852016
